DATE,GEO,CATEGORY,VALUE
2020-03-01,"Sherbrooke, Quebec",house,103.9
2020-03-01,"St. Catharines-Niagara, Ontario",house,108.7
2020-03-01,"St. John's, Newfoundland and Labrador",house,97.2
2020-03-01,"Toronto, Ontario",house,102.8
2020-03-01,"Trois-Rivières, Quebec",house,103.1
2020-03-01,"Vancouver, British Columbia",house,106.9
2020-03-01,"Victoria, British Columbia",house,102.6
2020-03-01,"Windsor, Ontario",house,108.6
2020-03-01,"Winnipeg, Manitoba",house,105.5
2020-04-01,Alberta,house,97.2
2020-04-01,Atlantic Region,house,101.5
2020-04-01,British Columbia,house,106.3
2020-04-01,"Calgary, Alberta",house,96.9
2020-04-01,Canada,house,104.1
2020-04-01,"Charlottetown, Prince Edward Island",house,102
2020-04-01,"Edmonton, Alberta",house,97.5
2020-04-01,"Greater Sudbury, Ontario",house,102.8
2020-04-01,"Guelph, Ontario",house,108.5
2020-04-01,"Halifax, Nova Scotia",house,103.9
2020-04-01,"Hamilton, Ontario",house,105.1
2020-04-01,"Kelowna, British Columbia",house,103.8
2020-04-01,"Kitchener-Cambridge-Waterloo, Ontario",house,109.9
2020-04-01,"London, Ontario",house,115.8
2020-04-01,Manitoba,house,105.6
2020-04-01,"Montréal, Quebec",house,113.8
2020-04-01,New Brunswick,house,103.2
2020-04-01,Newfoundland and Labrador,house,97.2
2020-04-01,Nova Scotia,house,103.9
2020-04-01,Ontario,house,106.4
2020-04-01,"Oshawa, Ontario",house,103.5
2020-04-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",house,122.8
2020-04-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",house,107.4
2020-04-01,Prairie Region,house,97.8
2020-04-01,Prince Edward Island,house,102
2020-04-01,Quebec,house,110.3
2020-04-01,"Québec, Quebec",house,100.9
2020-04-01,"Regina, Saskatchewan",house,92.8
2020-04-01,"Saint John, Fredericton, and Moncton, New Brunswick",house,103.2
2020-04-01,Saskatchewan,house,95
2020-04-01,"Saskatoon, Saskatchewan",house,96.4
2020-04-01,"Sherbrooke, Quebec",house,103.9
2020-04-01,"St. Catharines-Niagara, Ontario",house,108.9
2020-04-01,"St. John's, Newfoundland and Labrador",house,97.2
2020-04-01,"Toronto, Ontario",house,102.8
2020-04-01,"Trois-Rivières, Quebec",house,103.1
2020-04-01,"Vancouver, British Columbia",house,106.9
2020-04-01,"Victoria, British Columbia",house,102.6
2020-04-01,"Windsor, Ontario",house,108.6
2020-04-01,"Winnipeg, Manitoba",house,105.6
2020-05-01,Alberta,house,97.2
2020-05-01,Atlantic Region,house,101.8
2020-05-01,British Columbia,house,106.3
2020-05-01,"Calgary, Alberta",house,96.9
2020-05-01,Canada,house,104.2
2020-05-01,"Charlottetown, Prince Edward Island",house,102.6
2020-05-01,"Edmonton, Alberta",house,97.6
2020-05-01,"Greater Sudbury, Ontario",house,102.8
2020-05-01,"Guelph, Ontario",house,108.8
2020-05-01,"Halifax, Nova Scotia",house,104.4
2020-05-01,"Hamilton, Ontario",house,105.2
2020-05-01,"Kelowna, British Columbia",house,103.8
2020-05-01,"Kitchener-Cambridge-Waterloo, Ontario",house,110
2020-05-01,"London, Ontario",house,116.2
2020-05-01,Manitoba,house,105.5
2020-05-01,"Montréal, Quebec",house,113.8
2020-05-01,New Brunswick,house,103.2
2020-05-01,Newfoundland and Labrador,house,97.2
2020-05-01,Nova Scotia,house,104.4
2020-05-01,Ontario,house,106.5
2020-05-01,"Oshawa, Ontario",house,103.5
2020-05-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",house,124
2020-05-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",house,107.9
2020-05-01,Prairie Region,house,97.9
2020-05-01,Prince Edward Island,house,102.6
2020-05-01,Quebec,house,110.3
2020-05-01,"Québec, Quebec",house,100.8
2020-05-01,"Regina, Saskatchewan",house,92.9
2020-05-01,"Saint John, Fredericton, and Moncton, New Brunswick",house,103.2
2020-05-01,Saskatchewan,house,95.1
2020-05-01,"Saskatoon, Saskatchewan",house,96.5
2020-05-01,"Sherbrooke, Quebec",house,103.9
2020-05-01,"St. Catharines-Niagara, Ontario",house,109
2020-05-01,"St. John's, Newfoundland and Labrador",house,97.2
2020-05-01,"Toronto, Ontario",house,102.8
2020-05-01,"Trois-Rivières, Quebec",house,103.1
2020-05-01,"Vancouver, British Columbia",house,106.9
2020-05-01,"Victoria, British Columbia",house,102.6
2020-05-01,"Windsor, Ontario",house,108.6
2020-05-01,"Winnipeg, Manitoba",house,105.5
2020-06-01,Alberta,house,97.1
2020-06-01,Atlantic Region,house,102
2020-06-01,British Columbia,house,106.4
2020-06-01,"Calgary, Alberta",house,96.8
2020-06-01,Canada,house,104.3
